category_id,category,field_id,field,name,explanation
4,Interests & Consumer Habits,1006,xpbb.propensity_cruise_enthusiasts_code,xpbb.propensity_cruise_enthusiasts_code,"Experian Field ID: 4909; Experian Datapoint Match Level: Household; Cruise ; Cruise Propensity, Self reported data 8515 Z cruise ; cruise propensities indicates a household's self reported cruise enthusiasm.BehaviorBank Household Indicators groups simila"
4,Interests & Consumer Habits,1007,xpbb.behaviorbank_do_it_yourselfer,Do-It-Yourself,Experian Field ID: 4828; Experian Datapoint Match Level: Household; Do-it-yourselfer
4,Interests & Consumer Habits,1008,xpbb.propensity_do_it_yourselfer_code,xpbb.propensity_do_it_yourselfer_code,"Experian Field ID: 4925; Experian Datapoint Match Level: Household; Doityourselfer ; Doityourselfer Prop, Self reported data 8523 Z doityourselfer ; doityourselfer propensities indicates a household's self reported do-it-yourselfer. BehaviorBank Househol"
4,Interests & Consumer Habits,1009,xpbb.behaviorbank_dog_enthusiasts,Dogs,Experian Field ID: 4841; Experian Datapoint Match Level: Household; Dog enthusiasts
4,Interests & Consumer Habits,1010,xpbb.propensity_dog_enthusiasts_code,xpbb.propensity_dog_enthusiasts_code,"Experian Field ID: 4951; Experian Datapoint Match Level: Household; Dogs ; Dogs Propensity, Self reported data 8536 Z dogs ; dogs propensities indicates a household has self reported as dog enthusiasts. BehaviorBank Household Indicators groups similar se"
4,Interests & Consumer Habits,1011,xpbb.behaviorbank_donates_to_environmental_causes,Charity- Environmental,Experian Field ID: 4833; Experian Datapoint Match Level: Household; Donates to environmental causes
4,Interests & Consumer Habits,1015,xpbb.behaviorbank_interest_in_fitness,Fitness,Experian Field ID: 4811; Experian Datapoint Match Level: Household; Interest in fitness
4,Interests & Consumer Habits,1016,xpbb.propensity_interest_in_fitness_code,xpbb.propensity_interest_in_fitness_code,"Experian Field ID: 4891; Experian Datapoint Match Level: Household; Fitness ; Fitness Propensity, Self reported data 8506 Z fitness ; fitness propensities indicates a household's self reported interest in fitness. BehaviorBank Household Indicators groups"
4,Interests & Consumer Habits,1017,xpbb.behaviorbank_interest_in_gardening,Gardening,Experian Field ID: 4817; Experian Datapoint Match Level: Household; Interest in gardening
4,Interests & Consumer Habits,1018,xpbb.propensity_interest_in_gardening_code,xpbb.propensity_interest_in_gardening_code,"Experian Field ID: 4903; Experian Datapoint Match Level: Household; Garden ; Garden Propensity, Self reported data 8512 Z garden ; garden propensities indicates a household's self reported interest in gardening. BehaviorBank Household Indicators groups s"
4,Interests & Consumer Habits,1019,xpbb.behaviorbank_interest_in_golf,Golf,Experian Field ID: 4806; Experian Datapoint Match Level: Household; Interest in golf
4,Interests & Consumer Habits,1020,xpbb.propensity_interest_in_golf_code,xpbb.propensity_interest_in_golf_code,Experian Field ID: 4881; Experian Datapoint Match Level: Household; Z golfer ; golfer propensities indicates a household's self reported interest in golf. BehaviorBank Household Indicators groups similar self-reported elements into slightly broader categ
4,Interests & Consumer Habits,1021,xpbb.behaviorbank_interest_in_gourmet_cooking,Gourmet Cooking,Experian Field ID: 4822; Experian Datapoint Match Level: Household; Gourmet indicates a household's self reported interest in gourmet cooking. BehaviorBank Household Indicators groups similar self-reported elements into slightly broader categories.
4,Interests & Consumer Habits,1022,xpbb.behaviorbank_grandparent,Grandparent,Experian Field ID: 4831; Experian Datapoint Match Level: Household; Grandparent
4,Interests & Consumer Habits,1023,xpbb.propensity_grandparent_code,xpbb.propensity_grandparent_code,"Experian Field ID: 4931; Experian Datapoint Match Level: Household; Grandparent ; Grandparent Propensity, Self reported data 8526 Z grandparent ; grandparent propensities indicates a household's self reported grandparent. BehaviorBank Household Indicator"
4,Interests & Consumer Habits,1024,xpbb.behaviorbank_healthy_living,Healthy Living,Experian Field ID: 4843; Experian Datapoint Match Level: Household; Healthy living
4,Interests & Consumer Habits,1025,xpbb.propensity_healthy_living_code,xpbb.propensity_healthy_living_code,"Experian Field ID: 4955; Experian Datapoint Match Level: Household; Health ; Health Propensity, Self reported data 8538 Z health ; health propensities indicates a household's self reported interest in healthy living. BehaviorBank Household Indicators gro"
4,Interests & Consumer Habits,1026,xpbb.behaviorbank_hi_tech_owner,Hi-Tech,Experian Field ID: 4855; Experian Datapoint Match Level: Household; Hi-tech owner indicates a household has self reported as a hi-tech owner. BehaviorBank Household Indicators groups similar self-reported elements into slightly broader categories.
4,Interests & Consumer Habits,1027,xpbb.behaviorbank_home_decorating_furnishing,Decorating & Furniture,Experian Field ID: 4856; Experian Datapoint Match Level: Household; Home decorating/furnishing
4,Interests & Consumer Habits,1028,xpbb.propensity_home_decorating_furnishing_code,xpbb.propensity_home_decorating_furnishing_code,"Experian Field ID: 5054; Experian Datapoint Match Level: Household; Home decor ; Home decor Propensity, Self reported data 8551 Z Home decor ; Home decor Propensity indicates a household's self-reported interest in Home decor and furnishing. BehaviorBank"
4,Interests & Consumer Habits,1029,xpbb.behaviorbank_home_entertainment_tv_video,"Electronics, TV, Video",Experian Field ID: 4857; Experian Datapoint Match Level: Household; Home entertainment V/video
4,Interests & Consumer Habits,1030,xpbb.propensity_home_entertainment_tv_video_code,xpbb.propensity_home_entertainment_tv_video_code,"Experian Field ID: 5056; Experian Datapoint Match Level: Household; Home entertnmnt ; Home entertnmnt Propensity, Self reported 8552 Z Home entertainment ; Home entertainment Propensity indicates a household's self-reported interest in Home entertainment"
4,Interests & Consumer Habits,1041,xpbb.behaviorbank_purchased_through_the_mail,Mail Buyer,Experian Field ID: 4810; Experian Datapoint Match Level: Household; Purchased through the mail
4,Interests & Consumer Habits,1042,xpbb.propensity_purchased_through_the_mail_code,xpbb.propensity_purchased_through_the_mail_code,"Experian Field ID: 4889; Experian Datapoint Match Level: Household; Mailorder Buyer ; Mailorder Buyer Prop, Self Reported data 8505 Z mailorder buyer ; mailorder buyer propensities indicates a household's self reported purchased through the mail. Behavio"
4,Interests & Consumer Habits,1043,xpbb.behaviorbank_mail_order_buyer_music_video,Mail Buyer- Music,Experian Field ID: 4859; Experian Datapoint Match Level: Household; Mail order buyer music/video
4,Interests & Consumer Habits,1044,xpbb.propensity_mob__music_video_code,xpbb.propensity_mob__music_video_code,"Experian Field ID: 5060; Experian Datapoint Match Level: Household; MOB music video ; MOB music video Propensity, Self reported 8554 Z MOB music video ; MOB music video Propensity indicates a household's self-reported behavior to purchase music and video"
4,Interests & Consumer Habits,1045,xpbb.behaviorbank_mail_order_buyer_books_magazines,Mail Buyer- Books,Experian Field ID: 4860; Experian Datapoint Match Level: Household; Mail order buyer books/magazines
4,Interests & Consumer Habits,1046,xpbb.propensity_mob_book_magazine_code,xpbb.propensity_mob_book_magazine_code,"Experian Field ID: 5062; Experian Datapoint Match Level: Household; MOB books mags ; MOB books mags Propensity, Self reported 8555 Z MOB books magazines ; MOB books magazines Propensity indicates a household's self-reported behavior to purchase books and"
4,Interests & Consumer Habits,1047,xpbb.behaviorbank_mail_order_buyer_clothing_shoes,Mail Buyer- Clothes,Experian Field ID: 4861; Experian Datapoint Match Level: Household; Mail order buyer clothing/shoes
4,Interests & Consumer Habits,1048,xpbb.propensity_mob_clothing_shoes_code,xpbb.propensity_mob_clothing_shoes_code,"Experian Field ID: 5064; Experian Datapoint Match Level: Household; MOB clths shoes ; MOB clths shoes Propensity, Self reported 8556 Z MOB clothes shoes ; MOB clothes shoes Propensity indicates a household's self-reported behavior to purchase MOB clothin"
4,Interests & Consumer Habits,1049,xpbb.behaviorbank_mail_order_buyer_insurance_finance,Mail Buyer- Insurance,Experian Field ID: 4862; Experian Datapoint Match Level: Household; Mail order buyer insurance/finance
4,Interests & Consumer Habits,1050,xpbb.propensity_mob_insurance_finance_code,xpbb.propensity_mob_insurance_finance_code,"Experian Field ID: 5066; Experian Datapoint Match Level: Household; MOB insur/fin ; MOB insur/fin Propensity, Self reported data 8557 Z MOB insurance finance ; MOB insurance finance Propensity indicates a household's self-reported behavior to purchase in"
4,Interests & Consumer Habits,1051,xpbb.behaviorbank_mail_order_buyer_gifts,Mail Buyer- Gifts,Experian Field ID: 4863; Experian Datapoint Match Level: Household; Mail order buyer gifts
4,Interests & Consumer Habits,1052,xpbb.propensity_mob_gifts_code,xpbb.propensity_mob_gifts_code,"Experian Field ID: 5068; Experian Datapoint Match Level: Household; MOB gifts ; MOB gifts Propensity, Self reported data 8558 Z MOB gifts ; MOB gifts Propensity indicates a household's self-reported behavior to purchase gifts through Mail Order. Behavior"
4,Interests & Consumer Habits,1053,xpbb.behaviorbank_mail_order_buyer_gardening,xpbb.behaviorbank_mail_order_buyer_gardening,Experian Field ID: 4864; Experian Datapoint Match Level: Household; Mail order buyer gardening
4,Interests & Consumer Habits,1054,xpbb.propensity_mob_gardening_code,xpbb.propensity_mob_gardening_code,"Experian Field ID: 5070; Experian Datapoint Match Level: Household; MOB gardening ; MOB gardening Propensity, Self reported data 8559 Z MOB gardening ; MOB gardening Propensity indicates a household's self-reported behavior to purchase gardening products"
4,Interests & Consumer Habits,1055,xpbb.behaviorbank_mail_order_buyer_jewelry_cosmetics,xpbb.behaviorbank_mail_order_buyer_jewelry_cosmetics,Experian Field ID: 4865; Experian Datapoint Match Level: Household; Mail order buyer jewelry/cosmetics
4,Interests & Consumer Habits,1056,xpbb.propensity_mob_jewelry_cosmetics_code,xpbb.propensity_mob_jewelry_cosmetics_code,"Experian Field ID: 5072; Experian Datapoint Match Level: Household; MOB jwlry/csmtc ; MOB jwlry/csmtc Propensity, Self reported 8560 Z MOB jewelry/cosmetics ; MOB jewelry/cosmetics Propensity indicates a household's self-reported behavior to purchase jew"
4,Interests & Consumer Habits,1057,xpbb.behaviorbank_mail_order_multibuyer,xpbb.behaviorbank_mail_order_multibuyer,Experian Field ID: 4838; Experian Datapoint Match Level: Household; Mail order multi-user
